text,intent
hey hello quickly,GREETING
hey hello,GREETING
could you hello please,GREETING
could you hello,GREETING
please hello,GREETING
hello,GREETING
can you hello now,GREETING
hello please,GREETING
please hello please,GREETING
hello quickly,GREETING
please hello now,GREETING
can you hello,GREETING
could you hello quickly,GREETING
hey hello quickly,GREETING
please hello now,GREETING
please hello now,GREETING
hey hello quickly,GREETING
please hello,GREETING
can you hello,GREETING
hey hello,GREETING
could you hello,GREETING
hello,GREETING
please hello now,GREETING
could you hello quickly,GREETING
hello quickly,GREETING
hello quickly,GREETING
hey hello please,GREETING
hello quickly,GREETING
please hello please,GREETING
hello please,GREETING
hey hello please,GREETING
can you hello,GREETING
hey hello now,GREETING
please hello quickly,GREETING
can you hello please,GREETING
hello quickly,GREETING
hello please,GREETING
please hello quickly,GREETING
please hello,GREETING
could you hello quickly,GREETING
can you hello,GREETING
hello please,GREETING
hey hello please,GREETING
please hello now,GREETING
can you hello,GREETING
please hello quickly,GREETING
could you hello now,GREETING
hey hello quickly,GREETING
could you hello quickly,GREETING
could you hello please,GREETING
can you hi,GREETING
hey hi now,GREETING
can you hi quickly,GREETING
please hi now,GREETING
please hi quickly,GREETING
please hi now,GREETING
hi,GREETING
hi quickly,GREETING
hey hi now,GREETING
can you hi please,GREETING
please hi,GREETING
hey hi quickly,GREETING
hey hi,GREETING
hey hi,GREETING
hey hi now,GREETING
hey hi quickly,GREETING
hi,GREETING
can you hi now,GREETING
can you hi quickly,GREETING
hey hi quickly,GREETING
please hi,GREETING
hi quickly,GREETING
please hi now,GREETING
hi please,GREETING
can you hi please,GREETING
hey hi,GREETING
hi,GREETING
hi quickly,GREETING
please hi now,GREETING
could you hi now,GREETING
hi now,GREETING
hi now,GREETING
hey hi please,GREETING
please hi now,GREETING
hi,GREETING
please hi please,GREETING
hey hi,GREETING
please hi please,GREETING
hey hi quickly,GREETING
please hi now,GREETING
could you hi now,GREETING
can you hi quickly,GREETING
could you hi now,GREETING
could you hi please,GREETING
could you hi quickly,GREETING
please hi please,GREETING
hi please,GREETING
can you hi please,GREETING
please hi now,GREETING
please hi quickly,GREETING
please hey now,GREETING
could you hey,GREETING
hey hey quickly,GREETING
please hey,GREETING
could you hey now,GREETING
could you hey quickly,GREETING
could you hey,GREETING
could you hey please,GREETING
hey now,GREETING
please hey quickly,GREETING
can you hey quickly,GREETING
please hey please,GREETING
could you hey please,GREETING
could you hey now,GREETING
could you hey quickly,GREETING
please hey please,GREETING
could you hey,GREETING
hey hey,GREETING
please hey now,GREETING
hey,GREETING
hey hey quickly,GREETING
can you hey now,GREETING
hey please,GREETING
hey please,GREETING
could you hey quickly,GREETING
hey hey please,GREETING
could you hey quickly,GREETING
hey now,GREETING
hey hey please,GREETING
can you hey quickly,GREETING
can you hey now,GREETING
hey hey quickly,GREETING
hey hey please,GREETING
can you hey quickly,GREETING
hey hey,GREETING
hey quickly,GREETING
could you hey,GREETING
hey now,GREETING
can you hey please,GREETING
hey please,GREETING
could you hey,GREETING
hey hey quickly,GREETING
can you hey quickly,GREETING
can you hey,GREETING
hey quickly,GREETING
hey,GREETING
can you hey quickly,GREETING
please hey now,GREETING
please hey please,GREETING
can you hey quickly,GREETING
can you hey guru please,GREETING
hey guru please,GREETING
could you hey guru please,GREETING
hey hey guru now,GREETING
please hey guru now,GREETING
please hey guru quickly,GREETING
please hey guru please,GREETING
hey hey guru please,GREETING
hey guru now,GREETING
can you hey guru please,GREETING
can you hey guru please,GREETING
hey hey guru quickly,GREETING
hey guru now,GREETING
hey hey guru quickly,GREETING
can you hey guru now,GREETING
please hey guru,GREETING
please hey guru quickly,GREETING
could you hey guru,GREETING
could you hey guru quickly,GREETING
hey hey guru please,GREETING
hey hey guru,GREETING
hey hey guru now,GREETING
hey hey guru please,GREETING
hey guru quickly,GREETING
could you hey guru please,GREETING
hey hey guru quickly,GREETING
hey guru,GREETING
please hey guru quickly,GREETING
hey hey guru now,GREETING
please hey guru quickly,GREETING
hey guru quickly,GREETING
hey hey guru,GREETING
could you hey guru quickly,GREETING
hey hey guru now,GREETING
hey guru,GREETING
hey hey guru please,GREETING
could you hey guru,GREETING
could you hey guru please,GREETING
hey hey guru quickly,GREETING
could you hey guru quickly,GREETING
could you hey guru please,GREETING
hey guru please,GREETING
can you hey guru please,GREETING
can you hey guru,GREETING
can you hey guru please,GREETING
hey hey guru please,GREETING
hey guru please,GREETING
hey guru please,GREETING
hey hey guru quickly,GREETING
please hey guru please,GREETING
please who are you,INTRODUCTION
hey who are you please,INTRODUCTION
hey who are you quickly,INTRODUCTION
could you who are you now,INTRODUCTION
can you who are you now,INTRODUCTION
can you who are you quickly,INTRODUCTION
can you who are you please,INTRODUCTION
can you who are you now,INTRODUCTION
could you who are you quickly,INTRODUCTION
could you who are you now,INTRODUCTION
please who are you please,INTRODUCTION
who are you now,INTRODUCTION
please who are you please,INTRODUCTION
could you who are you quickly,INTRODUCTION
could you who are you quickly,INTRODUCTION
can you who are you quickly,INTRODUCTION
could you who are you please,INTRODUCTION
could you who are you,INTRODUCTION
hey who are you quickly,INTRODUCTION
hey who are you please,INTRODUCTION
who are you now,INTRODUCTION
could you who are you quickly,INTRODUCTION
hey who are you please,INTRODUCTION
could you who are you quickly,INTRODUCTION
hey who are you,INTRODUCTION
please who are you quickly,INTRODUCTION
hey who are you quickly,INTRODUCTION
can you who are you,INTRODUCTION
who are you quickly,INTRODUCTION
who are you,INTRODUCTION
who are you quickly,INTRODUCTION
could you who are you now,INTRODUCTION
can you who are you now,INTRODUCTION
could you who are you now,INTRODUCTION
can you who are you now,INTRODUCTION
hey who are you now,INTRODUCTION
please who are you,INTRODUCTION
who are you now,INTRODUCTION
who are you now,INTRODUCTION
could you who are you quickly,INTRODUCTION
could you who are you quickly,INTRODUCTION
can you who are you,INTRODUCTION
could you who are you now,INTRODUCTION
please who are you quickly,INTRODUCTION
hey who are you,INTRODUCTION
could you who are you please,INTRODUCTION
hey who are you please,INTRODUCTION
hey who are you now,INTRODUCTION
hey who are you,INTRODUCTION
please who are you please,INTRODUCTION
please introduce yourself quickly,INTRODUCTION
could you introduce yourself now,INTRODUCTION
could you introduce yourself,INTRODUCTION
introduce yourself,INTRODUCTION
please introduce yourself please,INTRODUCTION
could you introduce yourself quickly,INTRODUCTION
could you introduce yourself quickly,INTRODUCTION
hey introduce yourself,INTRODUCTION
hey introduce yourself now,INTRODUCTION
could you introduce yourself,INTRODUCTION
please introduce yourself now,INTRODUCTION
could you introduce yourself,INTRODUCTION
hey introduce yourself quickly,INTRODUCTION
hey introduce yourself,INTRODUCTION
can you introduce yourself please,INTRODUCTION
please introduce yourself please,INTRODUCTION
can you introduce yourself please,INTRODUCTION
could you introduce yourself now,INTRODUCTION
can you introduce yourself quickly,INTRODUCTION
can you introduce yourself now,INTRODUCTION
could you introduce yourself,INTRODUCTION
please introduce yourself,INTRODUCTION
introduce yourself,INTRODUCTION
could you introduce yourself,INTRODUCTION
could you introduce yourself quickly,INTRODUCTION
please introduce yourself quickly,INTRODUCTION
introduce yourself quickly,INTRODUCTION
can you introduce yourself please,INTRODUCTION
please introduce yourself quickly,INTRODUCTION
introduce yourself now,INTRODUCTION
hey introduce yourself quickly,INTRODUCTION
could you introduce yourself please,INTRODUCTION
please introduce yourself,INTRODUCTION
can you introduce yourself quickly,INTRODUCTION
introduce yourself,INTRODUCTION
introduce yourself,INTRODUCTION
can you introduce yourself now,INTRODUCTION
please introduce yourself now,INTRODUCTION
introduce yourself please,INTRODUCTION
could you introduce yourself,INTRODUCTION
hey introduce yourself now,INTRODUCTION
can you introduce yourself,INTRODUCTION
introduce yourself please,INTRODUCTION
please introduce yourself now,INTRODUCTION
hey introduce yourself please,INTRODUCTION
could you introduce yourself,INTRODUCTION
hey introduce yourself now,INTRODUCTION
hey introduce yourself now,INTRODUCTION
could you introduce yourself,INTRODUCTION
please introduce yourself,INTRODUCTION
can you what is your name,INTRODUCTION
hey what is your name now,INTRODUCTION
can you what is your name please,INTRODUCTION
hey what is your name quickly,INTRODUCTION
what is your name quickly,INTRODUCTION
can you what is your name now,INTRODUCTION
what is your name now,INTRODUCTION
please what is your name,INTRODUCTION
hey what is your name now,INTRODUCTION
please what is your name now,INTRODUCTION
what is your name,INTRODUCTION
please what is your name,INTRODUCTION
hey what is your name please,INTRODUCTION
hey what is your name please,INTRODUCTION
can you what is your name now,INTRODUCTION
please what is your name,INTRODUCTION
can you what is your name quickly,INTRODUCTION
what is your name please,INTRODUCTION
can you what is your name please,INTRODUCTION
could you what is your name now,INTRODUCTION
could you what is your name quickly,INTRODUCTION
hey what is your name quickly,INTRODUCTION
can you what is your name now,INTRODUCTION
could you what is your name please,INTRODUCTION
can you what is your name,INTRODUCTION
could you what is your name,INTRODUCTION
hey what is your name now,INTRODUCTION
hey what is your name,INTRODUCTION
what is your name now,INTRODUCTION
please what is your name,INTRODUCTION
could you what is your name now,INTRODUCTION
can you what is your name now,INTRODUCTION
hey what is your name please,INTRODUCTION
hey what is your name quickly,INTRODUCTION
can you what is your name please,INTRODUCTION
please what is your name quickly,INTRODUCTION
could you what is your name now,INTRODUCTION
hey what is your name,INTRODUCTION
hey what is your name now,INTRODUCTION
please what is your name,INTRODUCTION
can you what is your name please,INTRODUCTION
could you what is your name quickly,INTRODUCTION
please what is your name now,INTRODUCTION
what is your name now,INTRODUCTION
please what is your name please,INTRODUCTION
could you what is your name please,INTRODUCTION
what is your name now,INTRODUCTION
could you what is your name quickly,INTRODUCTION
hey what is your name now,INTRODUCTION
please what is your name quickly,INTRODUCTION
please tell me about yourself quickly,INTRODUCTION
please tell me about yourself quickly,INTRODUCTION
hey tell me about yourself quickly,INTRODUCTION
tell me about yourself,INTRODUCTION
tell me about yourself,INTRODUCTION
tell me about yourself please,INTRODUCTION
can you tell me about yourself,INTRODUCTION
could you tell me about yourself,INTRODUCTION
tell me about yourself now,INTRODUCTION
could you tell me about yourself now,INTRODUCTION
hey tell me about yourself quickly,INTRODUCTION
could you tell me about yourself,INTRODUCTION
tell me about yourself now,INTRODUCTION
tell me about yourself quickly,INTRODUCTION
please tell me about yourself,INTRODUCTION
hey tell me about yourself,INTRODUCTION
can you tell me about yourself quickly,INTRODUCTION
hey tell me about yourself please,INTRODUCTION
hey tell me about yourself,INTRODUCTION
hey tell me about yourself quickly,INTRODUCTION
please tell me about yourself now,INTRODUCTION
please tell me about yourself quickly,INTRODUCTION
could you tell me about yourself please,INTRODUCTION
hey tell me about yourself,INTRODUCTION
can you tell me about yourself,INTRODUCTION
could you tell me about yourself,INTRODUCTION
please tell me about yourself,INTRODUCTION
hey tell me about yourself,INTRODUCTION
tell me about yourself please,INTRODUCTION
can you tell me about yourself,INTRODUCTION
could you tell me about yourself please,INTRODUCTION
could you tell me about yourself now,INTRODUCTION
could you tell me about yourself please,INTRODUCTION
could you tell me about yourself,INTRODUCTION
please tell me about yourself quickly,INTRODUCTION
tell me about yourself,INTRODUCTION
please tell me about yourself please,INTRODUCTION
please tell me about yourself quickly,INTRODUCTION
tell me about yourself now,INTRODUCTION
could you tell me about yourself now,INTRODUCTION
tell me about yourself,INTRODUCTION
hey tell me about yourself,INTRODUCTION
could you tell me about yourself quickly,INTRODUCTION
hey tell me about yourself,INTRODUCTION
can you tell me about yourself please,INTRODUCTION
tell me about yourself now,INTRODUCTION
hey tell me about yourself now,INTRODUCTION
could you tell me about yourself quickly,INTRODUCTION
can you tell me about yourself quickly,INTRODUCTION
please tell me about yourself,INTRODUCTION
hey what can you do quickly,ROBOT_INFO
can you what can you do quickly,ROBOT_INFO
hey what can you do please,ROBOT_INFO
hey what can you do please,ROBOT_INFO
hey what can you do please,ROBOT_INFO
could you what can you do please,ROBOT_INFO
can you what can you do,ROBOT_INFO
can you what can you do please,ROBOT_INFO
please what can you do now,ROBOT_INFO
what can you do,ROBOT_INFO
please what can you do,ROBOT_INFO
what can you do now,ROBOT_INFO
could you what can you do,ROBOT_INFO
hey what can you do,ROBOT_INFO
please what can you do please,ROBOT_INFO
what can you do,ROBOT_INFO
